Title,Company,Working Place,Location,Post Date,Number of Positions,Applicants,Career Level,Education,Salary,Job Category,Skills,Job Description
Senior Technical Office Engineer (Architectural),Full Time,Hybrid,,Posted 2 months ago,86,2 open positions,7 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,BIM Architecture Engineering Revit AutoCAD Architectural Engineering Revit Architecture Architectural Design
Customer Support Representative - US Company..,Full Time,On-site,,Posted 10 days ago,20,5 open positions,Not Specified,Experienced (Non-Manager),Not Specified,28000 To 38000 EGP Per Month,Customer Service/Support,Customer Service Customer Care Customer Support English
"Quality Control Manager, Electrical Engineer – LV ABB Panel Builder",Full Time,On-site,N/A,Posted 7 days ago,16,1 open position,4 To 8 Years,Manager,Not Specified,"Confidential, Annual Bounce",Engineering - Mechanical/Electrical,Electrical Electrical Engineering Engineering ABB Quality Control Panel Builder Senior
Front Desk ( Receptionist ),Full Time,On-site,,Posted 2 months ago,133,4 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6000 To 6000 EGP Per Month,Administration,Administration Front desk Microsoft Microsoft Office office Office management receptionist Skills
Export sales specialist,Full Time,On-site,,Posted 1 month ago,51,1 open position,1 To 4 Years,Experienced (Non-Manager),Not Specified,Female,Administration,Export Export Sales sales
Senior Web Developer,Full Time,On-site,,Posted 2 months ago,70,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,Angular Computer Science CSS Engineering Git HTML Information Technology (IT) JavaScript PHP Software Development Software Engineering SQL
Organizational Development Specialist,Full Time,On-site,,Posted 1 month ago,42,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,"Confidential, Annual Bonus Transportation",Human Resources,HR OD Talent management
Social Media Team Leader,Full Time,On-site,,Posted 29 days ago,29,1 open position,6 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,business Communication E-Marketing Marketing media Social Media Communication skills Economics English MS Office sales skills
Business Development Executive,Full Time,On-site,,Posted 1 month ago,14,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Business Development,Business Development Insurance sales skills Sales Presentation Skills Communication Communication skills Management English Medical Microsoft Office Sales Target
Site Engineer,Full Time,On-site,,Posted 2 months ago,115,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,Civil Engineering AutoCAD Construction
Social Media Specialist,Full Time,On-site,N/A,Posted 2 months ago,90,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,Marketing Online Marketing Digital Marketing Social Media Media SEO SEM Advertising Public Relations (PR) Social Media Strategies Brand Awareness
QS & Tendering Engineer,Full Time,On-site,,Posted 29 days ago,59,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,"Confidential, Social Insurance Medical Insurance Yearly Bonus",Engineering - Construction/Civil/Architecture,Arch Civil Civil Engineering Engineering finishing work Finishing Tendering QS Engineering
English Teacher,Full Time,On-site,,Posted 1 month ago,28,3 open positions,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Education/Teaching,Education English Teaching International English english language Teaching American Curriculum
Senior Treasury Accountant,Full Time,On-site,N/A,Posted 9 days ago,112,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Females Preferred,Accounting/Finance,Cash Cash Management Accounting Finance Financial Management Management Treasury Manufacturing Financial Analysis Financial Modeling
Media Consultant,Full Time,On-site,,Posted 15 days ago,7,30 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commissions And Bonuses",Marketing/PR/Advertising,Marketing communications negotiation skills sales skills Sales Target media
Senior Maintenance Engineer-Alexandria,Full Time,On-site,,Posted 18 days ago,83,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, -Transportation -Medical Insurance",Installation/Maintenance/Repair,Maintenance Mechatronics Engineering Manufacturing Mechanical teamwork Communication Problem Analysis
Telesales Agent,Full Time,On-site,,Posted 1 month ago,13,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Sales/Retail,Telesales Sales Skills Sales Customer Service Customer Care Communication Communication Skills Banking BTC
Sales Executive,Internship,Hybrid,,Posted 2 months ago,17,3 open positions,Not Specified,Entry Level (Junior Level / Fresh Grad),Not Specified,"Paid, Commission Based",Banking,#BankingJobs #UAEJobs #TelesalesOpportunities #FlexibleWork #CareerGrowth #BankingCareers #StartYourCareer
Distribution Executive - 6th of October,Full Time,On-site,,Posted 1 month ago,24,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Male,Logistics/Supply Chain,Distribution Supply Chain Warehousing Transportation
Warehouse Manager,Full Time,On-site,,Posted 1 month ago,218,1 open position,7 To 10 Years,Manager,Not Specified,Confidential,Logistics/Supply Chain,Supply Chain Administration Warehouse Management Management Warehouse manager
Senior IT Infrastructure Engineer,Full Time,On-site,N/A,Posted 1 month ago,94,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,Information Technology (IT) Infrastructure IT Engineering Computer Science
customer service & sales call center,Full Time,On-site,,Posted 2 months ago,107,1 open position,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Customer Service/Support,The applicant must be fluent in English. must be proficient in computer skills.
Telesales Agent,Full Time,On-site,,Posted 16 days ago,49,1 open position,1 To 10 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,9400 To 40000 EGP Per Month,Customer Service/Support,Agent Customer Service Sales sales skills Telesales telesales agent
General Manager ( Agriculture - Pesticides Factory),Full Time,On-site,,Posted 16 days ago,81,1 open position,10 To 12 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Manufacturing/Production,business general manager Leadership Planning Finance
Head of Electrical Maintenance Department,Full Time,On-site,,Posted 11 days ago,42,1 open position,10 To 12 Years,Manager,Bachelor'S Degree,Male,Installation/Maintenance/Repair,Manufacturing Electrical Engineering Electrical Systems SCADA PLC Electrical
Human Resources Generalist,Full Time,On-site,N/A,Posted 28 days ago,88,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,HR Diploma HR generalist Human Resources Personnel Recruitment Training Labor Microsoft Office
IT Help Desk,Full Time,On-site,,Posted 4 days ago,149,2 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Installation/Maintenance/Repair,Communication Communication skills computer Computer Science Help desk Information Systems Information Technology (IT) Installation Skills Systems MCSA CCNA MCSA+ CCNP Security CCNA Security
Front End Developer,Full Time,On-site,,Posted 2 days ago,122,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,Computer Science Design CSS3 Development front-end Frontend HTML5 JavaScript Software Development React Information Technology (IT) Agile
Sales Representative,Full Time,On-site,,Posted 28 days ago,13,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,Advertising business Business Administration Communication Customer Service Negotiation English negotiation skills sales skills Sales Sales Target Skills
Accountant,Full Time,On-site,N/A,Posted 1 month ago,69,1 open position,2 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting excel Finance Financial Management Microsoft Excel QuickBooks SAP Accounting Software Financial Analysis GAAP IFRS Tax
Foreign Purchasing Specialist,Full Time,On-site,,Posted 24 days ago,30,1 open position,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Male,Administration,Administration business Business Administration Communication Management Logistics Negotiation Purchasing Procurement Supply Chain Supply supply chain management
Graphic Designer,Full Time,On-site,,Posted 19 days ago,45,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,Adobe Photoshop Adobe illustrator Design Graphic Graphic Design illustrator photoshop indesign Arts
Executive Specialist - Events,Full Time,On-site,N/A,Posted 2 months ago,26,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Events Advertising Marketing Organizing English Microsoft Office
Senior Treasury Accountant,Full Time,On-site,,Posted 9 days ago,114,2 open positions,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,Accounting Finance Financial Analysis Treasury Cash Cash Flow Cash forecasting payment Communication skills
CFO,Full Time,On-site,,Posted 4 days ago,147,1 open position,15 To 20 Years,Manager,Not Specified,Confidential,Accounting/Finance,Financial Management Finance Real Estate MBA CPA Tax Financial Analysis Financial CFA Accounting Management
Commission-Based Labor Supply Contracts Marketing Representative,Part Time,On-site,,Posted 1 month ago,25,1 open position,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,1000 To 4000 SAR Per Month,Sales/Retail,Sales Sales Target Sales Field
IT Technical Support,Full Time,On-site,N/A,Posted 2 months ago,92,2 open positions,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Project Bonus",Installation/Maintenance/Repair,Information Technology (IT) networks Engineering English IT ITIL IT Service Management Technical Support Troubleshooting CCNA Ticketing Systems Computer Engineering IT Support Computer Science technical Remote Support ManageEngine ServiceDesk Plus
Sales Supervisor (E-Commerce),Full Time,On-site,,Posted 16 days ago,23,1 open position,2 To 4 Years,Manager,Not Specified,Confidential,Customer Service/Support,Customer Service Communication Negotiation sales buzz FMCG Sales Target Supervisor sales skills
Proposal & Design Engineer - Water & Wastewater Treatment,Full Time,On-site,,Posted 22 days ago,17,1 open position,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,Engineering Design Auto cad Proposal Tendering Mechanical
HR Operations Specialist,Full Time,On-site,,Posted 1 month ago,89,1 open position,2 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Administration,HR HR Specialist Human Resources Human Resources (HR) Communication Management Payroll Personnel Recruitment
Reporter - Cairo,Part Time,On-site,,Posted 1 month ago,38,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Media/Journalism/Publishing,analytical Reporting media English Arabic Writing Analytical Skills
Treasury Accountant,Full Time,On-site,,Posted 3 days ago,83,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,accountant Accounting Finance Financial Analysis Treasury Accountant Treasury
Reporter,Full Time,On-site,,Posted 1 month ago,27,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Media/Journalism/Publishing,English Reporting media Medical Arabic TV
SEO Specialist,Full Time,Remote,,Posted 9 days ago,14,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Writing/Editorial,Communication Content Content Creation E-Marketing English google Keyword research Marketing Research SEO Social Media
Electrical Sales Engineer/ Projects Sales (Lighting Field ),Full Time,On-site,,Posted 1 day ago,Be the First to Apply,N/A,5 To 7 Years,Experienced (Non-Manager),Not Specified,"Confidential, Commission",Business Development,Electrical Engineering Lighting Sales Engineering Negotiation LED Lighting Lightroom Lightworks Lighting Design Electrical sales skills
Digital Marketing Manager,Full Time,Remote,,Posted 2 days ago,29,1 open position,2 To 10 Years,Manager,Bachelor'S Degree,"400 To 600 USD Per Month, Commissions",Marketing/PR/Advertising,Advertising Digital Marketing Marketing Social Media E-Marketing digital marketing Digital Management media SEM SEO Communication
Telesales Agent,Full Time,On-site,,Posted 30 days ago,5,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,5500 To 8000 EGP Per Month,Customer Service/Support,Telesales sales skills Sales negotiation skills Skills Negotiation Microsoft Office Customer Service Communication Insurance Medical Medical Insurance
Customer Service Representative,Full Time,On-site,,Posted 10 days ago,34,1 open position,Not Specified,Experienced (Non-Manager),Not Specified,Female,Customer Service/Support,Customer Service Customer Support Customer Care Communication Service Software Customer Skills
"Backoffice (mail&chat) Excellent English speakers,grads",Full Time,On-site,,Posted 3 days ago,12,1 open position,0 To 7 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"11000 To 15000 EGP Per Month, 15k Net",Accounting/Finance,Customer Service Customer Support Customer Care Customer Satisfaction Customer Relations Customer Retention Customer Service Management Customer Experience Customer Survey Call Center Technical Support English English speakers English account English Teaching                    
Junior UX Designer,Full Time,On-site,,Posted 2 days ago,73,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Creative/Design/Art,Software Development Information Technology (IT) Software Design UX Design Figma Adobe XD UX UX Writing American English Prototyping Wireframes Agile Scrum
Talent Acquisition Supervisor,Full Time,On-site,,Posted 2 months ago,63,1 open position,4 To 7 Years,Manager,Not Specified,Confidential,Human Resources,Interviewing Talent acquisition Talent Recruitment Human Resources (HR) HR Hiring Employer Branding Communication skills Human Resources Communication HR Diploma Recruiting
Industrial Plants Project Manager,Full Time,On-site,,Posted 5 days ago,71,1 open position,10 To 20 Years,Manager,Not Specified,Confidential,Engineering - Construction/Civil/Architecture,Engineering Management Fire Fighting Fire Alarm Systems HVAC Systems Mechanical Industrial Mechanical Engineering Project Project Management
Senior Payroll Specialist,Full Time,On-site,N/A,Posted 2 months ago,48,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,ERP excel Human Resources Human Resources (HR) Insurance Labor Law Management Law Microsoft Office Payroll SAP
Video Editor,Full Time,Remote,,Posted 2 months ago,221,300 open positions,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,8000 To 15000 EGP Per Month,Creative/Design/Art,adobe Adobe Premiere Adobe Premiere Pro Adobe Photoshop Adobe After Effects Editing Premiere Video Editing video Storytelling effects grading
Salesforce Administrator,Full Time,Remote,,Posted 1 month ago,20,2 open positions,3 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,Salesforce CRM Salesforce CRM
Chinese Translator,Full Time,On-site,,Posted 9 days ago,Be the First to Apply,N/A,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Administration,Chinese Editorial English Translation Writing Chinese Translation
HR Intern,Internship,On-site,,Posted 2 months ago,60,1 open position,0 To 1 Year,Student (Undergrad / Postgrad),Bachelor'S Degree,Paid,Human Resources,Human Resources (HR) Labor Law Personnel Recruitment HR Human Resources human resources management Management Microsoft Office
Asst Ship Captain,Full Time,On-site,,Posted 2 months ago,12,5 open positions,3 To 7 Years,Manager,Bachelor'S Degree,Male,Installation/Maintenance/Repair,Sea Vessels ship boat captian fish fishing
Senior Architecture Technical Office,Full Time,On-site,,Posted 14 days ago,20,9 open positions,12 To 15 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Engineering - Construction/Civil/Architecture,Architecture AutoCAD Technical Office technical office engineer Rivet Project Coordination
Electrical Maintenance Engineer,Full Time,On-site,,Posted 2 months ago,55,1 open position,4 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,Engineering Maintenance Electrical Engineering
Legal Affairs Manager,Full Time,On-site,,Posted 2 months ago,239,1 open position,More Than 15 Years,Manager,Bachelor'S Degree,Confidential,Legal,Legal Law Legal Affairs Administration Regulations Corporate Law Commercial Law Tax Law Assistant Management Microsoft Office
Store Supervisor,Full Time,On-site,,Posted 21 days ago,19,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,8000 To 12000 EGP Per Month,Operations/Management,Administration Retail Sales sales skills business Business Administration Business Development
Reels Creator,Full Time,On-site,,Posted 16 days ago,24,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"8000 To 12000 EGP Per Month, Confidential",Marketing/PR/Advertising,Digital Marketing Creative Reels Content Creation creator Social Media
Corporate Sales Specialist,Full Time,On-site,,Posted 2 months ago,22,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Sales/Retail,sales skills Sales Target Customer Service Communication CRM B2B Sales Corporate Sales Business Development Account Management
Senior Financial FP & A Analyst,Full Time,On-site,,Posted 8 days ago,27,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Analysis Finance Financial Planning English ERP Financial
Quality Control Analyst,Full Time,On-site,,Posted 2 months ago,181,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,"5000 To 8000 EGP Per Month, Monthly And Annual Incentives",Other,Quality Control Quality Assurance Quality Management System ISO 27001 quality Management ISO 9001 Administration
Mechanical Site Engineer - Senior and Junior Levels,Full Time,On-site,,Posted 2 months ago,169,5 open positions,3 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,Mechanical Engineering Mechanical Site Engineering
Chemical Specialist.,Full Time,On-site,,Posted 2 months ago,184,1 open position,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Manufacturing/Production,Chemical Chemical Engineering Quality Control Quality Assurance Quality Management Chemistry Chemicals Manufacturing Engineering
Telesales Representative,Full Time,On-site,N/A,Posted 26 days ago,6,1 open position,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"15000 To 20000 EGP Per Month, Uncapped Commission In US Dollars. Avg Of 350$",Sales/Retail,Telesales sales skills Sales English Negotiation Customer Service
Data Entry Clerk,Part Time,Remote,,Posted 2 months ago,520,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,2500 To 3000 EUR Per Month,Writing/Editorial,Data Entry Data Analysis excel Data Administration Customer Service Analysis Microsoft Office
Senior accountant- GL,Full Time,On-site,,Posted 13 days ago,41,1 open position,3 To 6 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Accounting/Finance,Financial Analysis Accounting Odoo ERP Financial Management Accounting Standards Accounting Software reports
Head of the Technical Office,Full Time,On-site,,Posted 1 month ago,100,1 open position,More Than 12 Years,"Senior Management (CEO, GM, Director, Head)",Bachelor'S Degree,Confidential,Project/Program Management,Communication Management Mechanical Engineering Project Management Project Drawings Engineering BOQ Quantity Surveying Planning AutoCAD
Senior Manager - Talent Acquisition (BPO Industry Must),Full Time,On-site,,Posted 2 days ago,35,1 open position,4 To 7 Years,Manager,Bachelor'S Degree,Confidential,Human Resources,senior manager recruitment Recruitment Mass Recruitment Hiring Talent acquisition BPO
Operation Assistant,Internship,On-site,,Posted 2 months ago,101,1 open position,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Paid,Administration,Communication Administration Communication skills Management Microsoft Office Office management Operations
Sales Team Leader - Insurance,Full Time,On-site,,Posted 28 days ago,13,1 open position,More Than 5 Years,Manager,Bachelor'S Degree,Confidential,Sales/Retail,business Communication Insurance Leadership Negotiation negotiation skills Sales sales skills Sales Target English CRM
Quality inspector,Full Time,On-site,,Posted 1 month ago,29,3 open positions,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,Inspector QC quality Quality Assurance Quality Control Testing
Motion and Video Designer,Full Time,Remote,,Posted 2 months ago,55,1 open position,2 To 6 Years,Experienced (Non-Manager),Not Specified,30000 To 35000 EGP Per Month,Creative/Design/Art,Adobe Photoshop Designer Design Adobe illustrator Graphic Design Programming Experience video Training Video Game
Sales Advisor,Full Time,On-site,,Posted 1 month ago,17,10 open positions,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Attractive Commission Based On Monthly Sales Targets. Incentives And Performance-Based Rewards.",Customer Service/Support,Customer Service Advisor Sales sales skills Sales Target Sales advisor Communication skills Retail Sales Retail Communication Skills Microsoft Office Computer Skills
Treasury Accountant,Full Time,On-site,,Posted 2 months ago,163,1 open position,1 To 2 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,Treasury Accountant accountant Accounting Finance Treasury Oracle Communication skills
Electrical Maintenance Engineer,Full Time,On-site,,Posted 3 days ago,54,1 open position,1 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Mechanical/Electrical,Electrical Engineering Engineering Electrical Maintenance Mechanical Engineering
Tax Accountant,Full Time,On-site,,Posted 2 months ago,82,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting accountant Tax CMA CPA excel Finance Financial Analysis tax accountant Bookkeeping Accounting Software
Administrative Assistant,Full Time,On-site,,Posted 29 days ago,108,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Administration,Administration administrative Communication Communication skills excel Microsoft Office office Office management powerpoint Secretary Skills word
Site Engineer ( Light Current ),Full Time,On-site,,Posted 9 days ago,21,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Males Preferred,Installation/Maintenance/Repair,Engineering Electronics communications Construction AutoCAD Communication Communication skills Leadership skills
Sales Software Account Manager,Full Time,On-site,,Posted 10 hours ago,44,2 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commission",IT/Software Development,Computer Science Customer Service IT Engineering Sales sales skills Sales Target Software Communication English Management
Technical Office Manager,Full Time,On-site,,Posted 1 month ago,59,2 open positions,9 To 15 Years,Manager,Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,Office management Technical Office Manager Technical Office technical
Technical Sales Engineer,Full Time,On-site,,Posted 1 month ago,35,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,Coating Coatings Engineering Sales sales skills gas
Homeroom Teacher,Full Time,On-site,,Posted 10 days ago,13,1 open position,1 To 6 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Education/Teaching,teacher english teacher Teaching Homeroom Education Educational
Business Support Executive,Full Time,On-site,,Posted 2 months ago,18,2 open positions,0 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,30000 To 35000 EGP Per Month,Business Development,business support Sales Support Executive English office sales skills SAP MS Office Customer Support
Delivery Officer,Full Time,On-site,,Posted 25 days ago,9,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Logistics/Supply Chain,Delivery Officer Delivery Retail Operations Hypermarket
Personnel & Payroll Specialist,Full Time,On-site,,Posted 1 month ago,103,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,HR HRIS Human Resources Personnel Payroll Human Resources (HR)
Art Team Leader,Full Time,On-site,,Posted 29 days ago,41,1 open position,5 To 16 Years,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,Art Digital Marketing Graphic Design 3D Design Creative Design
Project Engineer,Full Time,On-site,,Posted 1 month ago,56,1 open position,2 Years,Experienced (Non-Manager),Not Specified,Confidential,Project/Program Management,Electrical Engineering Mechanical Project Project Management Management Communication skills Planning Mechanical Engineering
Warehouse Keeper,Full Time,On-site,,Posted 1 month ago,14,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,Warehousing Warehouse
Graphic Designer,Full Time,On-site,,Posted 1 month ago,71,3 open positions,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,Adobe illustrator Adobe Photoshop Designer Graphic Graphic Design graphic designer Design
Pre-School Class Teacher,Full Time,On-site,,Posted 17 days ago,18,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Education/Teaching,Education English School teacher Teaching Pre-School
Procurement Specialist,Full Time,On-site,,Posted 2 months ago,28,1 open position,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,Purchasing Procurement Engineering ERP Industrial Manufacturing Supply Chain Computer Skills English Skills Supply Logistics Communication Microsoft Office business Negotiation Planning
Data Analyst,Full Time,On-site,,Posted 14 days ago,386,1 open position,1 To 7 Years,Experienced (Non-Manager),Not Specified,15000 To 20000 EGP Per Month,Analyst/Research,Analysis business Computer Science Data Analysis Research
Senior Full Stack Developer,Full Time,On-site,,Posted 22 days ago,30,1 open position,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Computer Science Full Stack Full Stack Developer senior Software Development Stack Information Technology (IT) Angular .Net front-end Software
Export Sales Executive,Full Time,On-site,,Posted 1 month ago,45,3 open positions,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Sales/Retail,Export Welding abrasive Administration business Business Administration Communication Customer Service Export Sales Sales Target
Sales Executive B2B - Agri Sector,Full Time,On-site,,Posted 24 days ago,9,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Sales/Retail,B2B Sales sales skills Customer Service B2B Sales Target
Production Engineer (Shift Operation Engineer),Full Time,On-site,N/A,Posted 11 days ago,81,3 open positions,1 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Operations/Management,Engineering Industrial Engineering Production Printing Mechatronics
QA\QC Engineer,Full Time,On-site,N/A,Posted 5 days ago,13,4 open positions,7 To 20 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,engineer QC QA QC Engineer
Junior Structural Design Engineer,Full Time,On-site,,Posted 2 months ago,84,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Benefits: 1. Competitive Monthly Net Salary 2. Annual Bonus, Medical Insurance, Social Insurance 3. Collaborative And Supportive Work Environment That Fosters Creativity And Innovation",Engineering - Construction/Civil/Architecture,BIM AutoCAD Civil Engineering Design Revit Safe Engineering Civil Structural Engineering ETABS structural English
health and safety Manager,Full Time,On-site,N/A,Posted 1 month ago,92,1 open position,15 To 20 Years,Manager,Not Specified,Confidential,Administration,Health OSHA NEBOSH Safety Science Manufacturing Management ISO Health and Safety Engineering quality
Sales & Marketing Executive,Full Time,On-site,,Posted 1 month ago,35,10 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6000 To 9000 EGP Per Month,Sales/Retail,Sales Sales Target sales skills business Communication Digital Marketing digital marketing Negotiation Social Media media Marketing Management
Working Drawings - Architecture Engineer,Full Time,On-site,,Posted 28 days ago,Be the First to Apply,N/A,4 To 6 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Engineering - Construction/Civil/Architecture,AutoCAD Architecture Engineering technical Revit Architecture Working Drawings
Electrical Engineer,Full Time,On-site,,Posted 21 days ago,26,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,Engineering Maintenance Production Production Engineering Electrical Engineering Electronics Engineering
Activities Coordinator,Full Time,On-site,,Posted 1 month ago,19,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Administration,activities Admin Administration Coordinator Education Management
Cyber Security Engineer,Full Time,On-site,N/A,Posted 23 days ago,91,1 open position,2 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Installation/Maintenance/Repair,Information Technology (IT) Networking Network Security Computer Science Information Security Engineering Network Security Security Systems
Technical Office Engineer (Architect),Full Time,Remote,,Posted 1 month ago,94,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,"Confidential, Social & Medical Insurance 40h Work /Week",Engineering - Construction/Civil/Architecture,Architecture AutoCAD Communication skills Construction Engineering photoshop Microsoft Office Communication Technical Office
Human Resource Advisor,Full Time,On-site,,Posted 1 month ago,228,2 open positions,5 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,Human Resources (HR) Microsoft Office Employee Relations Recruitment HR ATS Administration Business Administration Management
